sample_accession	environment (material)	collection date	geographic location (longitude)	air temperature	occupant density at sampling	absolute air humidity	building setting	ENA-FIRST-PUBLIC	ENA-LAST-UPDATE	ventilation type	occupancy at sampling	environment (biome)	environment (feature)	light type	filter type	geographic location (country and/or sea)	building occupancy type	ENA-CHECKLIST	carbon dioxide	typical occupant density	organism	relative air humidity	space typical state	geographic location (latitude)	scientific_name	heating and cooling system type	investigation type	indoor space	organism count	project name	sequencing method	built environment environmental package
SAMEA3904661																																
SAMEA3904678																																
SAMEA3904679																																
SAMEA3904685																																
SAMEA3904686																																
SAMEA3904688																																
SAMEA3904689																																
SAMEA3904695																																
SAMEA3904703																																
SAMEA3904706																																
SAMEA3904708																																
SAMEA3904713																																
SAMEA3904715																																
SAMEA3904663																																
SAMEA3904665																																
SAMEA3904670																																
SAMEA3904675																																
SAMEA3904677																																
SAMEA3904680																																
SAMEA3904681																																
SAMEA3904690																																
SAMEA3904692																																
SAMEA3904693																																
SAMEA3904694																																
SAMEA3904696																																
SAMEA3904699																																
SAMEA3904701																																
SAMEA3904712																																
SAMEA3904716																																
SAMEA3904717																																
SAMEA3904718																																
SAMEA3904719																																
SAMEA3904664																																
SAMEA3904666																																
SAMEA3904668																																
SAMEA3904669																																
SAMEA3904672																																
SAMEA3904673																																
SAMEA3904674																																
SAMEA3904676																																
SAMEA3904682																																
SAMEA3904683																																
SAMEA3904684																																
SAMEA3904687																																
SAMEA3904697																																
SAMEA3904698																																
SAMEA3904700																																
SAMEA3904702																																
SAMEA3904704																																
SAMEA3904705																																
SAMEA3904707																																
SAMEA3904709																																
SAMEA3904710																																
SAMEA3904711																																
SAMEA3904714																																
